name,domain,description,company
Project-10715,Agriculture,Project-10715: Agriculture project for analytics and ML.,Vision235 Corp
Project-10716,Healthcare,Project-10716: Healthcare project for analytics and ML.,Neo135 Analytics
Project-10717,AI,Project-10717: AI project for analytics and ML.,Next442 AI
Project-10718,Energy,Project-10718: Energy project for analytics and ML.,Beta271 Works
Project-10719,AI,Project-10719: AI project for analytics and ML.,Prime161 Works
Project-10720,Security,Project-10720: Security project for analytics and ML.,Neo199 Dynamics
Project-10721,Security,Project-10721: Security project for analytics and ML.,Data201 Solutions
Project-10722,Security,Project-10722: Security project for analytics and ML.,Next59 Labs
Project-10723,AdTech,Project-10723: AdTech project for analytics and ML.,Vision181 Systems
Project-10724,Energy,Project-10724: Energy project for analytics and ML.,Neo317 Networks
Project-10725,Retail,Project-10725: Retail project for analytics and ML.,Core417 Soft
Project-10726,AI,Project-10726: AI project for analytics and ML.,Tech362 Solutions
Project-10727,Gaming,Project-10727: Gaming project for analytics and ML.,Edge471 Systems
Project-10728,Security,Project-10728: Security project for analytics and ML.,Beta303 Systems
Project-10729,Healthcare,Project-10729: Healthcare project for analytics and ML.,Omni345 Systems
Project-10730,Retail,Project-10730: Retail project for analytics and ML.,Prime161 Works
Project-10731,Healthcare,Project-10731: Healthcare project for analytics and ML.,Omni123 Labs
Project-10732,Gaming,Project-10732: Gaming project for analytics and ML.,Omni60 Solutions
Project-10733,Retail,Project-10733: Retail project for analytics and ML.,Vision192 Systems
Project-10734,Retail,Project-10734: Retail project for analytics and ML.,Data262 Works
Project-10735,EdTech,Project-10735: EdTech project for analytics and ML.,Tech215 Systems
Project-10736,Security,Project-10736: Security project for analytics and ML.,Prime71 Analytics
Project-10737,Security,Project-10737: Security project for analytics and ML.,Alpha197 Networks
Project-10738,EdTech,Project-10738: EdTech project for analytics and ML.,Smart96 Works
Project-10739,Energy,Project-10739: Energy project for analytics and ML.,Edge326 Works
Project-10740,Transport,Project-10740: Transport project for analytics and ML.,Edge356 Corp
Project-10741,AI,Project-10741: AI project for analytics and ML.,Tech477 Dynamics
Project-10742,Retail,Project-10742: Retail project for analytics and ML.,Neo285 Networks
Project-10743,Retail,Project-10743: Retail project for analytics and ML.,Omni251 AI
Project-10744,Gaming,Project-10744: Gaming project for analytics and ML.,Prime72 Analytics
Project-10745,Retail,Project-10745: Retail project for analytics and ML.,Smart162 Works
Project-10746,Energy,Project-10746: Energy project for analytics and ML.,Core318 Soft
Project-10747,Finance,Project-10747: Finance project for analytics and ML.,Tech444 Analytics
Project-10748,AdTech,Project-10748: AdTech project for analytics and ML.,Alpha488 Solutions
Project-10749,Finance,Project-10749: Finance project for analytics and ML.,Alpha249 AI
Project-10750,Retail,Project-10750: Retail project for analytics and ML.,Beta100 Dynamics
Project-10751,EdTech,Project-10751: EdTech project for analytics and ML.,Vision494 Labs
Project-10752,Transport,Project-10752: Transport project for analytics and ML.,Prime259 Soft
Project-10753,AI,Project-10753: AI project for analytics and ML.,Prime254 Systems
Project-10754,EdTech,Project-10754: EdTech project for analytics and ML.,Edge351 Systems
Project-10755,Energy,Project-10755: Energy project for analytics and ML.,Smart213 Systems
Project-10756,Energy,Project-10756: Energy project for analytics and ML.,Omni251 AI
Project-10757,Retail,Project-10757: Retail project for analytics and ML.,Vision43 Analytics
Project-10758,Security,Project-10758: Security project for analytics and ML.,Data16 AI
Project-10759,Agriculture,Project-10759: Agriculture project for analytics and ML.,Neo150 Systems
Project-10760,Finance,Project-10760: Finance project for analytics and ML.,Prime141 Labs
Project-10761,Agriculture,Project-10761: Agriculture project for analytics and ML.,Edge276 Networks
Project-10762,Gaming,Project-10762: Gaming project for analytics and ML.,Beta87 Systems
Project-10763,Energy,Project-10763: Energy project for analytics and ML.,Cloud290 Works
Project-10764,Energy,Project-10764: Energy project for analytics and ML.,Alpha282 Labs
Project-10765,Transport,Project-10765: Transport project for analytics and ML.,Cloud58 Analytics
Project-10766,Security,Project-10766: Security project for analytics and ML.,Next59 Labs
Project-10767,Gaming,Project-10767: Gaming project for analytics and ML.,Alpha397 Solutions
Project-10768,Transport,Project-10768: Transport project for analytics and ML.,Alpha422 Solutions
Project-10769,AdTech,Project-10769: AdTech project for analytics and ML.,Neo278 AI
Project-10770,Finance,Project-10770: Finance project for analytics and ML.,Alpha390 AI
Project-10771,Energy,Project-10771: Energy project for analytics and ML.,Alpha280 Dynamics
Project-10772,Agriculture,Project-10772: Agriculture project for analytics and ML.,Core218 Solutions
Project-10773,Healthcare,Project-10773: Healthcare project for analytics and ML.,Neo377 Dynamics
Project-10774,AI,Project-10774: AI project for analytics and ML.,Bright385 Networks
Project-10775,Agriculture,Project-10775: Agriculture project for analytics and ML.,Bright153 Soft
Project-10776,Finance,Project-10776: Finance project for analytics and ML.,Core231 Labs
Project-10777,Gaming,Project-10777: Gaming project for analytics and ML.,Neo179 Works
Project-10778,Healthcare,Project-10778: Healthcare project for analytics and ML.,Bright225 Corp
Project-10779,Healthcare,Project-10779: Healthcare project for analytics and ML.,Cloud398 Analytics
Project-10780,Agriculture,Project-10780: Agriculture project for analytics and ML.,Prime108 Systems
Project-10781,Security,Project-10781: Security project for analytics and ML.,Vision353 Networks
Project-10782,AdTech,Project-10782: AdTech project for analytics and ML.,Core441 Dynamics
Project-10783,Security,Project-10783: Security project for analytics and ML.,Vision324 Solutions
Project-10784,EdTech,Project-10784: EdTech project for analytics and ML.,Neo85 Soft
Project-10785,Security,Project-10785: Security project for analytics and ML.,Prime72 Analytics
Project-10786,Agriculture,Project-10786: Agriculture project for analytics and ML.,Core417 Soft
Project-10787,Agriculture,Project-10787: Agriculture project for analytics and ML.,Next413 Solutions
Project-10788,Finance,Project-10788: Finance project for analytics and ML.,Prime292 Solutions
Project-10789,AdTech,Project-10789: AdTech project for analytics and ML.,Vision273 Analytics
Project-10790,Gaming,Project-10790: Gaming project for analytics and ML.,Vision306 Analytics
Project-10791,Transport,Project-10791: Transport project for analytics and ML.,Beta87 Systems
Project-10792,AdTech,Project-10792: AdTech project for analytics and ML.,Vision361 Dynamics
Project-10793,Gaming,Project-10793: Gaming project for analytics and ML.,Data149 Networks
Project-10794,Security,Project-10794: Security project for analytics and ML.,Vision137 Systems
Project-10795,Transport,Project-10795: Transport project for analytics and ML.,Data461 Analytics
Project-10796,AI,Project-10796: AI project for analytics and ML.,Tech418 Soft
Project-10797,Healthcare,Project-10797: Healthcare project for analytics and ML.,Core70 Systems
Project-10798,EdTech,Project-10798: EdTech project for analytics and ML.,Edge471 Systems
Project-10799,Finance,Project-10799: Finance project for analytics and ML.,Neo142 Solutions
Project-10800,AI,Project-10800: AI project for analytics and ML.,Edge65 Corp
Project-10801,Retail,Project-10801: Retail project for analytics and ML.,Smart128 Labs
Project-10802,Retail,Project-10802: Retail project for analytics and ML.,Neo365 AI
Project-10803,AdTech,Project-10803: AdTech project for analytics and ML.,Bright425 Soft
Project-10804,Agriculture,Project-10804: Agriculture project for analytics and ML.,Alpha390 AI
Project-10805,AI,Project-10805: AI project for analytics and ML.,Smart202 Networks
Project-10806,Energy,Project-10806: Energy project for analytics and ML.,Prime73 Works
Project-10807,Security,Project-10807: Security project for analytics and ML.,Vision324 Solutions
Project-10808,Gaming,Project-10808: Gaming project for analytics and ML.,Core322 Networks
Project-10809,EdTech,Project-10809: EdTech project for analytics and ML.,Next193 AI
Project-10810,Energy,Project-10810: Energy project for analytics and ML.,Beta39 Networks
Project-10811,AI,Project-10811: AI project for analytics and ML.,Prime407 Systems
Project-10812,Healthcare,Project-10812: Healthcare project for analytics and ML.,Next207 Works
Project-10813,Transport,Project-10813: Transport project for analytics and ML.,Smart384 Systems
Project-10814,Gaming,Project-10814: Gaming project for analytics and ML.,Edge356 Corp
Project-10815,AdTech,Project-10815: AdTech project for analytics and ML.,Omni233 Analytics
Project-10816,Energy,Project-10816: Energy project for analytics and ML.,Data168 Works
Project-10817,Security,Project-10817: Security project for analytics and ML.,Vision2 Corp
Project-10818,Healthcare,Project-10818: Healthcare project for analytics and ML.,Beta375 Dynamics
Project-10819,Energy,Project-10819: Energy project for analytics and ML.,Edge326 Works
Project-10820,AI,Project-10820: AI project for analytics and ML.,Core358 AI
Project-10821,AdTech,Project-10821: AdTech project for analytics and ML.,Tech436 AI
Project-10822,Healthcare,Project-10822: Healthcare project for analytics and ML.,Next408 AI
Project-10823,Transport,Project-10823: Transport project for analytics and ML.,Omni204 Analytics
Project-10824,Agriculture,Project-10824: Agriculture project for analytics and ML.,Core496 Solutions
Project-10825,EdTech,Project-10825: EdTech project for analytics and ML.,Beta423 AI
Project-10826,Agriculture,Project-10826: Agriculture project for analytics and ML.,Prime254 Systems
Project-10827,Gaming,Project-10827: Gaming project for analytics and ML.,Vision166 Networks
Project-10828,Gaming,Project-10828: Gaming project for analytics and ML.,Alpha173 Soft
Project-10829,Transport,Project-10829: Transport project for analytics and ML.,Bright296 Corp
Project-10830,Retail,Project-10830: Retail project for analytics and ML.,Cloud290 Works
Project-10831,Energy,Project-10831: Energy project for analytics and ML.,Edge404 Corp
Project-10832,AdTech,Project-10832: AdTech project for analytics and ML.,Data458 Dynamics
Project-10833,AI,Project-10833: AI project for analytics and ML.,Bright391 Dynamics
Project-10834,Finance,Project-10834: Finance project for analytics and ML.,Beta24 Corp
Project-10835,Healthcare,Project-10835: Healthcare project for analytics and ML.,Neo321 Works
Project-10836,Energy,Project-10836: Energy project for analytics and ML.,Tech9 Systems
Project-10837,Healthcare,Project-10837: Healthcare project for analytics and ML.,Core476 Solutions
Project-10838,Retail,Project-10838: Retail project for analytics and ML.,Data226 Soft
Project-10839,Energy,Project-10839: Energy project for analytics and ML.,Cloud1 Analytics
Project-10840,EdTech,Project-10840: EdTech project for analytics and ML.,Bright104 Analytics
Project-10841,Retail,Project-10841: Retail project for analytics and ML.,Data452 Soft
Project-10842,AI,Project-10842: AI project for analytics and ML.,Prime155 Analytics
Project-10843,Retail,Project-10843: Retail project for analytics and ML.,Neo448 Analytics
Project-10844,Gaming,Project-10844: Gaming project for analytics and ML.,Cloud48 Analytics
Project-10845,AI,Project-10845: AI project for analytics and ML.,Omni185 Solutions
Project-10846,Gaming,Project-10846: Gaming project for analytics and ML.,Vision43 Analytics
Project-10847,AdTech,Project-10847: AdTech project for analytics and ML.,Data341 Systems
Project-10848,AI,Project-10848: AI project for analytics and ML.,Neo85 Soft
Project-10849,Finance,Project-10849: Finance project for analytics and ML.,Tech203 Works
Project-10850,AI,Project-10850: AI project for analytics and ML.,Bright157 Solutions
Project-10851,Agriculture,Project-10851: Agriculture project for analytics and ML.,Alpha220 AI
Project-10852,AI,Project-10852: AI project for analytics and ML.,Data47 Works
Project-10853,Healthcare,Project-10853: Healthcare project for analytics and ML.,Cloud1 Analytics
Project-10854,Agriculture,Project-10854: Agriculture project for analytics and ML.,Beta245 Analytics
Project-10855,Healthcare,Project-10855: Healthcare project for analytics and ML.,Cloud68 Soft
Project-10856,Security,Project-10856: Security project for analytics and ML.,Omni116 Dynamics
Project-10857,Transport,Project-10857: Transport project for analytics and ML.,Data349 Soft
Project-10858,Energy,Project-10858: Energy project for analytics and ML.,Beta5 Soft
Project-10859,Finance,Project-10859: Finance project for analytics and ML.,Core357 Dynamics
Project-10860,AdTech,Project-10860: AdTech project for analytics and ML.,Data419 Corp
Project-10861,Healthcare,Project-10861: Healthcare project for analytics and ML.,Core441 Dynamics
Project-10862,EdTech,Project-10862: EdTech project for analytics and ML.,Edge356 Corp
Project-10863,Retail,Project-10863: Retail project for analytics and ML.,Beta245 Analytics
Project-10864,Healthcare,Project-10864: Healthcare project for analytics and ML.,Cloud118 Solutions
Project-10865,EdTech,Project-10865: EdTech project for analytics and ML.,Next46 Dynamics
Project-10866,Healthcare,Project-10866: Healthcare project for analytics and ML.,Vision53 Networks
Project-10867,AdTech,Project-10867: AdTech project for analytics and ML.,Data189 Systems
Project-10868,Gaming,Project-10868: Gaming project for analytics and ML.,Prime71 Analytics
Project-10869,EdTech,Project-10869: EdTech project for analytics and ML.,Alpha397 Solutions
Project-10870,Retail,Project-10870: Retail project for analytics and ML.,Omni329 Systems
Project-10871,AI,Project-10871: AI project for analytics and ML.,Beta74 Works
Project-10872,Healthcare,Project-10872: Healthcare project for analytics and ML.,Cloud272 Works
Project-10873,Security,Project-10873: Security project for analytics and ML.,Beta5 Soft
Project-10874,Security,Project-10874: Security project for analytics and ML.,Next333 Dynamics
Project-10875,Retail,Project-10875: Retail project for analytics and ML.,Data226 Soft
Project-10876,AdTech,Project-10876: AdTech project for analytics and ML.,Data370 Dynamics
Project-10877,Agriculture,Project-10877: Agriculture project for analytics and ML.,Core322 Networks
Project-10878,Retail,Project-10878: Retail project for analytics and ML.,Edge471 Systems
Project-10879,EdTech,Project-10879: EdTech project for analytics and ML.,Data316 Analytics
Project-10880,AI,Project-10880: AI project for analytics and ML.,Data227 AI
Project-10881,Agriculture,Project-10881: Agriculture project for analytics and ML.,Data45 Systems
Project-10882,Healthcare,Project-10882: Healthcare project for analytics and ML.,Prime72 Analytics
Project-10883,Healthcare,Project-10883: Healthcare project for analytics and ML.,Next302 Soft
Project-10884,EdTech,Project-10884: EdTech project for analytics and ML.,Vision180 Networks
Project-10885,EdTech,Project-10885: EdTech project for analytics and ML.,Smart162 Works
Project-10886,Retail,Project-10886: Retail project for analytics and ML.,Smart127 Works
Project-10887,Gaming,Project-10887: Gaming project for analytics and ML.,Data331 Analytics
Project-10888,Healthcare,Project-10888: Healthcare project for analytics and ML.,Smart128 Labs
Project-10889,Transport,Project-10889: Transport project for analytics and ML.,Smart308 Soft
Project-10890,Security,Project-10890: Security project for analytics and ML.,Data370 Dynamics
Project-10891,Security,Project-10891: Security project for analytics and ML.,Core146 Solutions
Project-10892,Finance,Project-10892: Finance project for analytics and ML.,Prime435 Networks
Project-10893,AI,Project-10893: AI project for analytics and ML.,Bright449 Labs
Project-10894,Gaming,Project-10894: Gaming project for analytics and ML.,Neo106 Solutions
Project-10895,Transport,Project-10895: Transport project for analytics and ML.,Bright311 Dynamics
Project-10896,Transport,Project-10896: Transport project for analytics and ML.,Core97 Solutions
Project-10897,EdTech,Project-10897: EdTech project for analytics and ML.,Core152 Labs
Project-10898,AI,Project-10898: AI project for analytics and ML.,Bright28 Dynamics
Project-10899,Agriculture,Project-10899: Agriculture project for analytics and ML.,Prime254 Systems
Project-10900,EdTech,Project-10900: EdTech project for analytics and ML.,Cloud58 Analytics
Project-10901,Agriculture,Project-10901: Agriculture project for analytics and ML.,Bright256 Solutions
Project-10902,AI,Project-10902: AI project for analytics and ML.,Data305 Solutions
Project-10903,Healthcare,Project-10903: Healthcare project for analytics and ML.,Beta271 Works
Project-10904,Finance,Project-10904: Finance project for analytics and ML.,Omni185 Solutions
Project-10905,AdTech,Project-10905: AdTech project for analytics and ML.,Cloud68 Soft
Project-10906,EdTech,Project-10906: EdTech project for analytics and ML.,Core441 Dynamics
Project-10907,Security,Project-10907: Security project for analytics and ML.,Prime216 Networks
Project-10908,AdTech,Project-10908: AdTech project for analytics and ML.,Alpha280 Dynamics
Project-10909,AI,Project-10909: AI project for analytics and ML.,Edge89 AI
Project-10910,Energy,Project-10910: Energy project for analytics and ML.,Edge489 Systems
Project-10911,Healthcare,Project-10911: Healthcare project for analytics and ML.,Tech9 Systems
Project-10912,Security,Project-10912: Security project for analytics and ML.,Prime35 Solutions
Project-10913,Finance,Project-10913: Finance project for analytics and ML.,Neo135 Analytics
Project-10914,Agriculture,Project-10914: Agriculture project for analytics and ML.,Cloud21 AI
Project-10915,Finance,Project-10915: Finance project for analytics and ML.,Edge486 Corp
Project-10916,EdTech,Project-10916: EdTech project for analytics and ML.,Bright260 Soft
Project-10917,Gaming,Project-10917: Gaming project for analytics and ML.,Core322 Networks
Project-10918,Transport,Project-10918: Transport project for analytics and ML.,Next393 Systems
Project-10919,EdTech,Project-10919: EdTech project for analytics and ML.,Core217 Dynamics
Project-10920,EdTech,Project-10920: EdTech project for analytics and ML.,Vision43 Analytics
Project-10921,AI,Project-10921: AI project for analytics and ML.,Next275 Solutions
Project-10922,Transport,Project-10922: Transport project for analytics and ML.,Data316 Analytics
Project-10923,Retail,Project-10923: Retail project for analytics and ML.,Data143 Networks
Project-10924,Healthcare,Project-10924: Healthcare project for analytics and ML.,Core159 Analytics
Project-10925,Healthcare,Project-10925: Healthcare project for analytics and ML.,Data262 Works
Project-10926,Agriculture,Project-10926: Agriculture project for analytics and ML.,Core499 Soft
Project-10927,Retail,Project-10927: Retail project for analytics and ML.,Next275 Solutions
Project-10928,AdTech,Project-10928: AdTech project for analytics and ML.,Data201 Solutions
Project-10929,Security,Project-10929: Security project for analytics and ML.,Prime325 Labs
Project-10930,AI,Project-10930: AI project for analytics and ML.,Data349 Soft
Project-10931,AI,Project-10931: AI project for analytics and ML.,Cloud34 Labs
Project-10932,Gaming,Project-10932: Gaming project for analytics and ML.,Core358 AI
Project-10933,EdTech,Project-10933: EdTech project for analytics and ML.,Vision374 Networks
Project-10934,Agriculture,Project-10934: Agriculture project for analytics and ML.,Cloud30 Works
Project-10935,Agriculture,Project-10935: Agriculture project for analytics and ML.,Data45 Systems
Project-10936,EdTech,Project-10936: EdTech project for analytics and ML.,Omni60 Solutions
Project-10937,Energy,Project-10937: Energy project for analytics and ML.,Edge314 Corp
Project-10938,Security,Project-10938: Security project for analytics and ML.,Bright29 Corp
Project-10939,Gaming,Project-10939: Gaming project for analytics and ML.,Core342 Corp
Project-10940,AI,Project-10940: AI project for analytics and ML.,Cloud380 Solutions
Project-10941,Retail,Project-10941: Retail project for analytics and ML.,Cloud62 AI
Project-10942,Finance,Project-10942: Finance project for analytics and ML.,Beta363 AI
Project-10943,Retail,Project-10943: Retail project for analytics and ML.,Beta360 Dynamics
Project-10944,Finance,Project-10944: Finance project for analytics and ML.,Core84 Corp
Project-10945,Energy,Project-10945: Energy project for analytics and ML.,Alpha488 Solutions
Project-10946,AdTech,Project-10946: AdTech project for analytics and ML.,Cloud268 Works
Project-10947,Transport,Project-10947: Transport project for analytics and ML.,Edge401 Solutions
Project-10948,Gaming,Project-10948: Gaming project for analytics and ML.,Beta86 Soft
Project-10949,AdTech,Project-10949: AdTech project for analytics and ML.,Edge65 Corp
Project-10950,Gaming,Project-10950: Gaming project for analytics and ML.,Bright376 Networks
Project-10951,Healthcare,Project-10951: Healthcare project for analytics and ML.,Prime395 Solutions
Project-10952,Finance,Project-10952: Finance project for analytics and ML.,Omni172 Works
Project-10953,EdTech,Project-10953: EdTech project for analytics and ML.,Core140 Labs
Project-10954,Transport,Project-10954: Transport project for analytics and ML.,Alpha33 Analytics
Project-10955,Gaming,Project-10955: Gaming project for analytics and ML.,Neo365 AI
Project-10956,Security,Project-10956: Security project for analytics and ML.,Core322 Networks
Project-10957,Healthcare,Project-10957: Healthcare project for analytics and ML.,Next255 Analytics
Project-10958,Energy,Project-10958: Energy project for analytics and ML.,Data262 Works
Project-10959,AdTech,Project-10959: AdTech project for analytics and ML.,Bright29 Corp
Project-10960,Energy,Project-10960: Energy project for analytics and ML.,Edge440 Networks
Project-10961,Security,Project-10961: Security project for analytics and ML.,Beta86 Soft
Project-10962,AdTech,Project-10962: AdTech project for analytics and ML.,Bright81 Networks
Project-10963,Gaming,Project-10963: Gaming project for analytics and ML.,Cloud396 Dynamics
Project-10964,Healthcare,Project-10964: Healthcare project for analytics and ML.,Data458 Dynamics
Project-10965,Security,Project-10965: Security project for analytics and ML.,Edge346 Dynamics
Project-10966,Healthcare,Project-10966: Healthcare project for analytics and ML.,Edge117 Soft
Project-10967,Transport,Project-10967: Transport project for analytics and ML.,Vision2 Corp
Project-10968,Finance,Project-10968: Finance project for analytics and ML.,Edge440 Networks
Project-10969,Finance,Project-10969: Finance project for analytics and ML.,Omni126 Corp
Project-10970,Finance,Project-10970: Finance project for analytics and ML.,Prime242 Systems
Project-10971,AdTech,Project-10971: AdTech project for analytics and ML.,Alpha197 Networks
Project-10972,Retail,Project-10972: Retail project for analytics and ML.,Alpha92 Networks
Project-10973,Finance,Project-10973: Finance project for analytics and ML.,Core284 Soft
Project-10974,AI,Project-10974: AI project for analytics and ML.,Tech215 Systems
Project-10975,Agriculture,Project-10975: Agriculture project for analytics and ML.,Neo165 Soft
Project-10976,Agriculture,Project-10976: Agriculture project for analytics and ML.,Bright214 Soft
Project-10977,AdTech,Project-10977: AdTech project for analytics and ML.,Neo139 Systems
Project-10978,Healthcare,Project-10978: Healthcare project for analytics and ML.,Core293 Dynamics
Project-10979,AdTech,Project-10979: AdTech project for analytics and ML.,Cloud62 AI
Project-10980,Transport,Project-10980: Transport project for analytics and ML.,Omni345 Systems
Project-10981,Finance,Project-10981: Finance project for analytics and ML.,Alpha92 Networks
Project-10982,Agriculture,Project-10982: Agriculture project for analytics and ML.,Smart412 Systems
Project-10983,Transport,Project-10983: Transport project for analytics and ML.,Beta24 Corp
Project-10984,EdTech,Project-10984: EdTech project for analytics and ML.,Data36 Works
Project-10985,Energy,Project-10985: Energy project for analytics and ML.,Tech444 Analytics
Project-10986,Gaming,Project-10986: Gaming project for analytics and ML.,Alpha397 Solutions
Project-10987,Gaming,Project-10987: Gaming project for analytics and ML.,Data168 Works
Project-10988,Healthcare,Project-10988: Healthcare project for analytics and ML.,Core284 Soft
Project-10989,Energy,Project-10989: Energy project for analytics and ML.,Beta5 Soft
Project-10990,AdTech,Project-10990: AdTech project for analytics and ML.,Bright103 Networks
Project-10991,Gaming,Project-10991: Gaming project for analytics and ML.,Data289 Dynamics
Project-10992,Gaming,Project-10992: Gaming project for analytics and ML.,Data379 Labs
Project-10993,Security,Project-10993: Security project for analytics and ML.,Core125 AI
Project-10994,Energy,Project-10994: Energy project for analytics and ML.,Data189 Systems
Project-10995,Security,Project-10995: Security project for analytics and ML.,Tech498 Solutions
Project-10996,Energy,Project-10996: Energy project for analytics and ML.,Cloud396 Dynamics
Project-10997,Agriculture,Project-10997: Agriculture project for analytics and ML.,Bright376 Networks
Project-10998,Transport,Project-10998: Transport project for analytics and ML.,Alpha390 AI
Project-10999,Agriculture,Project-10999: Agriculture project for analytics and ML.,Data78 Dynamics
Project-11000,Finance,Project-11000: Finance project for analytics and ML.,Core478 Works
Project-11001,EdTech,Project-11001: EdTech project for analytics and ML.,Neo13 Corp
Project-11002,Agriculture,Project-11002: Agriculture project for analytics and ML.,Neo278 AI
Project-11003,AdTech,Project-11003: AdTech project for analytics and ML.,Edge326 Works
Project-11004,Finance,Project-11004: Finance project for analytics and ML.,Omni487 AI
Project-11005,AdTech,Project-11005: AdTech project for analytics and ML.,Cloud1 Analytics
Project-11006,AI,Project-11006: AI project for analytics and ML.,Next193 AI
Project-11007,Gaming,Project-11007: Gaming project for analytics and ML.,Neo54 Dynamics
Project-11008,Agriculture,Project-11008: Agriculture project for analytics and ML.,Cloud272 Works
Project-11009,Agriculture,Project-11009: Agriculture project for analytics and ML.,Tech215 Systems
Project-11010,Energy,Project-11010: Energy project for analytics and ML.,Omni493 Soft
Project-11011,Finance,Project-11011: Finance project for analytics and ML.,Tech498 Solutions
Project-11012,Retail,Project-11012: Retail project for analytics and ML.,Neo365 AI
Project-11013,Gaming,Project-11013: Gaming project for analytics and ML.,Cloud48 Analytics
Project-11014,Finance,Project-11014: Finance project for analytics and ML.,Omni472 Systems
Project-11015,Agriculture,Project-11015: Agriculture project for analytics and ML.,Beta460 Networks
Project-11016,Transport,Project-11016: Transport project for analytics and ML.,Vision212 Corp
Project-11017,AdTech,Project-11017: AdTech project for analytics and ML.,Vision235 Corp
Project-11018,Healthcare,Project-11018: Healthcare project for analytics and ML.,Next298 Systems
Project-11019,Healthcare,Project-11019: Healthcare project for analytics and ML.,Prime259 Soft
Project-11020,Retail,Project-11020: Retail project for analytics and ML.,Tech327 Solutions
Project-11021,EdTech,Project-11021: EdTech project for analytics and ML.,Beta39 Networks
Project-11022,Security,Project-11022: Security project for analytics and ML.,Edge291 Corp
Project-11023,Finance,Project-11023: Finance project for analytics and ML.,Prime223 Solutions
Project-11024,AI,Project-11024: AI project for analytics and ML.,Vision494 Labs
Project-11025,Retail,Project-11025: Retail project for analytics and ML.,Neo122 AI
Project-11026,Gaming,Project-11026: Gaming project for analytics and ML.,Tech134 Dynamics
Project-11027,AdTech,Project-11027: AdTech project for analytics and ML.,Omni475 Analytics
Project-11028,EdTech,Project-11028: EdTech project for analytics and ML.,Alpha359 Corp
Project-11029,AdTech,Project-11029: AdTech project for analytics and ML.,Alpha163 AI
Project-11030,Energy,Project-11030: Energy project for analytics and ML.,Core140 Labs
Project-11031,Agriculture,Project-11031: Agriculture project for analytics and ML.,Beta39 Networks
Project-11032,Agriculture,Project-11032: Agriculture project for analytics and ML.,Core70 Systems
Project-11033,Security,Project-11033: Security project for analytics and ML.,Bright56 Dynamics
Project-11034,Retail,Project-11034: Retail project for analytics and ML.,Vision55 Labs
Project-11035,Retail,Project-11035: Retail project for analytics and ML.,Core231 Labs
Project-11036,Energy,Project-11036: Energy project for analytics and ML.,Prime161 Works
Project-11037,EdTech,Project-11037: EdTech project for analytics and ML.,Cloud62 AI
Project-11038,Transport,Project-11038: Transport project for analytics and ML.,Tech184 Labs
Project-11039,Agriculture,Project-11039: Agriculture project for analytics and ML.,Next232 Solutions
Project-11040,Gaming,Project-11040: Gaming project for analytics and ML.,Smart238 Dynamics
Project-11041,Gaming,Project-11041: Gaming project for analytics and ML.,Omni437 Works
Project-11042,Healthcare,Project-11042: Healthcare project for analytics and ML.,Data47 Works
Project-11043,Retail,Project-11043: Retail project for analytics and ML.,Omni414 Analytics
Project-11044,AI,Project-11044: AI project for analytics and ML.,Edge156 Analytics
Project-11045,Security,Project-11045: Security project for analytics and ML.,Cloud21 AI
Project-11046,Agriculture,Project-11046: Agriculture project for analytics and ML.,Tech428 Soft
Project-11047,AdTech,Project-11047: AdTech project for analytics and ML.,Beta76 Corp
Project-11048,Healthcare,Project-11048: Healthcare project for analytics and ML.,Neo365 AI
Project-11049,Agriculture,Project-11049: Agriculture project for analytics and ML.,Core496 Solutions
Project-11050,AdTech,Project-11050: AdTech project for analytics and ML.,Tech203 Works
Project-11051,Transport,Project-11051: Transport project for analytics and ML.,Smart26 Analytics
Project-11052,AI,Project-11052: AI project for analytics and ML.,Beta154 Soft
Project-11053,Gaming,Project-11053: Gaming project for analytics and ML.,Vision420 Dynamics
Project-11054,Retail,Project-11054: Retail project for analytics and ML.,Data16 AI
Project-11055,EdTech,Project-11055: EdTech project for analytics and ML.,Vision438 Analytics
Project-11056,Energy,Project-11056: Energy project for analytics and ML.,Neo285 Networks
Project-11057,Transport,Project-11057: Transport project for analytics and ML.,Smart128 Labs
Project-11058,Healthcare,Project-11058: Healthcare project for analytics and ML.,Smart237 Systems
Project-11059,Healthcare,Project-11059: Healthcare project for analytics and ML.,Smart412 Systems
Project-11060,Retail,Project-11060: Retail project for analytics and ML.,Vision63 Soft
Project-11061,Finance,Project-11061: Finance project for analytics and ML.,Tech32 Soft
Project-11062,Agriculture,Project-11062: Agriculture project for analytics and ML.,Core67 Solutions
Project-11063,Agriculture,Project-11063: Agriculture project for analytics and ML.,Alpha422 Solutions
Project-11064,EdTech,Project-11064: EdTech project for analytics and ML.,Tech191 Solutions
Project-11065,AI,Project-11065: AI project for analytics and ML.,Prime323 Solutions
Project-11066,AI,Project-11066: AI project for analytics and ML.,Tech44 Analytics
Project-11067,Security,Project-11067: Security project for analytics and ML.,Neo301 Analytics
Project-11068,Gaming,Project-11068: Gaming project for analytics and ML.,Bright470 Soft
Project-11069,Healthcare,Project-11069: Healthcare project for analytics and ML.,Neo12 Dynamics
Project-11070,Healthcare,Project-11070: Healthcare project for analytics and ML.,Smart102 Networks
Project-11071,AI,Project-11071: AI project for analytics and ML.,Beta228 Corp
